name,type,day,start_time,end_time,status
200B 01.14,room,2025-02-24,09:00,10:00,unavailable
200B 01.14,room,2025-02-24,16:00,17:00,unavailable
200B 01.14,room,2025-02-26,10:00,11:00,unavailable
200B 01.14,room,2025-02-26,11:00,12:00,unavailable
200B 01.14,room,2025-02-26,12:00,13:00,unavailable
200B 01.14,room,2025-02-26,13:00,14:00,unavailable
200B 01.14,room,2025-02-26,14:00,15:00,unavailable
200B 01.14,room,2025-02-26,15:00,16:00,unavailable
200B 01.14,room,2025-02-26,16:00,17:00,unavailable
200B 01.16,room,2025-02-24,16:00,17:00,unavailable
200B 01.16,room,2025-02-25,09:00,10:00,unavailable
200B 01.16,room,2025-02-25,10:00,11:00,unavailable
200B 01.16,room,2025-02-25,11:00,12:00,unavailable
200B 01.16,room,2025-02-25,12:00,13:00,unavailable
200B 01.16,room,2025-02-25,13:00,14:00,unavailable
200B 01.16,room,2025-02-25,14:00,15:00,unavailable
200B 01.16,room,2025-02-25,15:00,16:00,unavailable
200B 01.16,room,2025-02-25,16:00,17:00,unavailable
200B 01.16,room,2025-02-26,14:00,15:00,unavailable
200B 01.16,room,2025-02-26,15:00,16:00,unavailable
200B 01.16,room,2025-02-26,16:00,17:00,unavailable
200B 01.16,room,2025-02-28,16:00,17:00,unavailable
200B 01.18,room,2025-02-25,10:00,11:00,unavailable
200B 01.18,room,2025-02-25,11:00,12:00,unavailable
200B 01.18,room,2025-02-25,12:00,13:00,unavailable
200B 01.18,room,2025-02-25,13:00,14:00,unavailable
200B 01.18,room,2025-02-25,14:00,15:00,unavailable
200B 01.18,room,2025-02-26,14:00,15:00,unavailable
200B 01.18,room,2025-02-28,10:00,11:00,unavailable
200B 01.18,room,2025-02-28,11:00,12:00,unavailable
200C 00.01,room,2025-02-24,13:00,14:00,unavailable
200C 00.01,room,2025-02-24,14:00,15:00,unavailable
200C 00.01,room,2025-02-24,15:00,16:00,unavailable
200C 00.01,room,2025-02-24,16:00,17:00,unavailable
200C 00.01,room,2025-02-26,13:00,14:00,unavailable
200C 00.01,room,2025-02-27,15:00,16:00,unavailable
200C 00.01,room,2025-02-28,09:00,10:00,unavailable
200C 00.01,room,2025-02-28,16:00,17:00,unavailable
200C 00.02,room,2025-02-25,15:00,16:00,unavailable
200C 00.02,room,2025-02-25,16:00,17:00,unavailable
200C 00.02,room,2025-02-26,09:00,10:00,unavailable
200C 00.02,room,2025-02-26,10:00,11:00,unavailable
200C 00.02,room,2025-02-26,11:00,12:00,unavailable
200C 00.02,room,2025-02-26,12:00,13:00,unavailable
200C 00.02,room,2025-02-26,13:00,14:00,unavailable
200C 00.02,room,2025-02-26,14:00,15:00,unavailable
200C 00.02,room,2025-02-26,15:00,16:00,unavailable
200C 00.02,room,2025-02-27,14:00,15:00,unavailable
200C 00.02,room,2025-02-27,15:00,16:00,unavailable
200C 00.02,room,2025-02-28,13:00,14:00,unavailable
200C 00.02,room,2025-02-28,14:00,15:00,unavailable
